NUMERO,GRUPO,DESCRIPCION,clase,tipo,aplazar,conciliar,sector
1,1,Activo,vista,,,,
11,1001,Activo Corriente,vista,,,,
111,1001001,Caja y Bancos,vista,,,,
1111,1001001001,Caja,existencias,"activo corriente",x,x,
1112,1001001002,Valores a Depositar,existencias,"activo corriente",x,x,
1113,1001001003,Caja Moneda Extranjera,existencias,"activo corriente",x,x,
1114,1001001004,Bancos,vista,,,,
11141,1001001004001,Banco,existencias,"activo corriente",x,x,
112,1001002,Inversiones,vista,,,,
1122,1001002002,Plazo Fijo,existencias,"activo corriente",x,,
113,1001003,Cr??ditos,vista,,,,
1131,1001003001,Deudores por Servicios - EE,a cobrar,"activo corriente",x,x,Energia
1132,1001003002,Deudores Varios,a cobrar,"activo corriente",x,x,
1133,1001003003,Deudores por Servicios del Exterior,a cobrar,"activo corriente",x,x,
1134,1001003004,Deudores por Venta de Equipos,a cobrar,"activo corriente",x,x,
1135,1001003005,Deudores por Servicios - AP,a cobrar,"activo corriente",x,x,Agua Potable
1136,1001003006,Deudores por Servicios - SS,a cobrar,"activo corriente",x,x,Sepelio
1137,1001003007,Deudores por Servicios - CCTV,a cobrar,"activo corriente",x,x,CCTV
1138,1001003008,Deudores por Servicios - INT,a cobrar,"activo corriente",x,x,Internet
1139,1001003009,Deudores por Servicios - GAS,a cobrar,"activo corriente",x,x,Gas
11310,1001003010,Otros Cr??ditos,vista,,,,
113101,1001003010001,Gastos a Rendir,a cobrar,"activo corriente",x,x,
113102,1001003010002,A.F.I.P. Cr??ditos,vista,,,,
1131021,1001003010002000,IVA Cr??dito Fiscal,existencias,"activo corriente",x,x,
1131022,1001003010002000,IVA Retenciones,a cobrar,"activo corriente",x,,
1131023,1001003010002000,IVA Percepciones,a cobrar,"activo corriente",x,,
1131024,1001003010002000,Iva Saldo a Favor,a cobrar,"activo corriente",x,,
1131025,1001003010002010,Computo 34% Ley 25413,a cobrar,"activo corriente",x,,
1131026,1001003010002010,Retenci??n Imp. a las Ganancias,a cobrar,"activo corriente",x,,
1131027,1001003010002010,Saldo a Favor Imp. a las Ganancias,a cobrar,"activo corriente",x,,
1131028,1001003010002010,Anticipo Ley 23427,a cobrar,"activo corriente",x,,
1131029,1001003010002010,Iva pagos a cuenta,a cobrar,"activo corriente",x,,
113103,1001003010003,D.G.R.,vista,,,,
1131031,1001003010003000,Retenciones Ingresos Brutos,a cobrar,"activo corriente",x,,
1131032,1001003010003000,Percepciones Ingresos Brutos,a cobrar,"activo corriente",x,,
1131033,1001003010003000,Ingresos Brutos Saldo a Favor,a cobrar,"activo corriente",x,,
113104,1001003010004,Gastos a Recuperar,a cobrar,"activo corriente",x,,
113105,1001003010005,Anticipo a Proveedores,a cobrar,"activo corriente",x,,
114,1001004,Bienes de Cambio,vista,,,,
1141,1001004001,Ataudes,existencias,"activo corriente",x,,
12,1002,Activo No Corriente",vista,,,,
124,1002004,Bienes de Uso,vista,,,,
1241,1002004001,Rodados,vista,,,,
12411,1002004001001,Rodados - EE,otro,"activo no corriente",x,,Energia
12412,1002004001002,Rodados - AP,otro,"activo no corriente",x,,Agua Potable
12413,1002004001003,Rodados - GAS,otro,"activo no corriente",x,,Gas
12414,1002004001004,Rodados - CCTV,otro,"activo no corriente",x,,CCTV
12415,1002004001005,Rodados - INT,otro,"activo no corriente",x,,Internet
12416,1002004001006,Rodados - SS,otro,"activo no corriente",x,,Sepelio
1242,1002004002,Muebles y Utiles,vista,,,,
12421,1002004002001,Valor Origen Muebles y Utiles,otro,"activo no corriente",x,,
12422,1002004002002,Amortizaciones Acumuladas Muebles y Utiles,otro,"activo no corriente",x,,
1243,1002004003,Instalaciones,vista,,,,
12431,1002004003001,Valor Origen instalaciones,otro,"activo no corriente",x,,
12432,1002004003002,Amortizaciones Acumuladas instalaciones,otro,"activo no corriente",x,,
1244,1002004004,Equipos de Computaci??n,vista,,,,
12441,1002004004001,Valor Origen Equipos de Computaci??n,otro,"activo no corriente",x,,
12442,1002004004002,Amortizaciones Acumuladas Eq. de Computaci??n,otro,"activo no corriente",x,,
2,2,Pasivo,vista,,,,
21,2001,Pasivo Corriente,vista,,,,
211,2001001,Deudas Comerciales,vista,,,,
2111,2001001001,Proveedores - EE,a pagar,"pasivo corriente",x,x,Energia
2112,2001001002,Proveedores - AP,a pagar,"pasivo corriente",x,x,Agua Potable
2113,2001001003,Proveedores - SS,a pagar,"pasivo corriente",x,x,Sepelio
2114,2001001004,Proveedores - GAS,a pagar,"pasivo corriente",x,x,Gas
2115,2001001005,Proveedores - CCTV,a pagar,"pasivo corriente",x,x,CCTV
2116,2001001006,Proveedores - INT,a pagar,"pasivo corriente",x,x,Internet
2117,2001001007,Honorarios a Pagar,a pagar,"pasivo corriente",x,x,
2118,2001001008,Honorarios Serv.Adm.a Pagar,a pagar,"pasivo corriente",x,x,
212,2001002,Deudas Financieras,vista,,,,
2121,2001002001,Tarjeta de Cr??dito a Pagar,a pagar,"pasivo corriente",x,,
2122,2001002002,Transf.Bancarias Diferidas,a pagar,"pasivo corriente",x,,
213,2001003,Deudas Sociales,vista,,,,
2131,2001003001,Acreedor Servicios,a pagar,"pasivo corriente",x,,
2132,2001003010,Capital Coop. a Reintegrar,a pagar,"pasivo corriente",x,,
