Nombre;Líneas/Category/Nombre;Líneas/Producto/Nombre;Líneas/Cantidad;Líneas/Fórmula;Líneas/Secuencia
T1R Residencial;Servicios de Energía;Cargo Fijo T1R;;unit_price*5.37;1
T1R Residencial;Servicios de Energía;Cargo Variable T1R;1401.0;unit_price*0.5952;5
T1R Residencial;Servicios de Energía;Cargo Variable T1R;701.0;unit_price*0.4622;6
T1R Residencial;Servicios de Energía;Cargo Variable T1R;501.0;unit_price*0.3905;7
T1R Residencial;Servicios de Energía;Cargo Variable T1R;401.0;unit_price*0.3194;8
T1R Residencial;Servicios de Energía;Cargo Variable T1R;201.0;unit_price*0.2886;9
T1R Residencial;Servicios de Energía;Cargo Variable T1R;101.0;unit_price*0.2503;10
T1R Residencial;Servicios de Energía;Cargo Variable T1R;;unit_price*0.2090;11
T1R Residencial;Servicios de Energía;Incremento Costo Mayorista T1R;1401.0;unit_price*0.0515;14
T1R Residencial;Servicios de Energía;Incremento Costo Mayorista T1R;701.0;unit_price*0.0426;15
T1R Residencial;Servicios de Energía;Incremento Costo Mayorista T1R;501.0;unit_price*0.0404;16
T1R Residencial;Servicios de Energía;Incremento Costo Mayorista T1R;401.0;unit_price*0.0314;18
T1R Residencial;Servicios de Energía;Incremento Costo Mayorista T1R;201.0;unit_price*0.0247;19
T1R Residencial;Servicios de Energía;Incremento Costo Mayorista T1R;101.0;unit_price*0.0180;20
T1R Residencial;Servicios de Energía;Incremento Costo Mayorista T1R;;unit_price*0.0157;21
T1R Residencial;Servicios de Energía;Resolución MI 206/13  T1R;1401.0;unit_price*75.00;25
T1R Residencial;Servicios de Energía;Resolución MI 206/13  T1R;701.0;unit_price*60.00;26
T1R Residencial;Servicios de Energía;Resolución MI 206/13  T1R;501.0;unit_price*35.00;27
T1R Residencial;Servicios de Energía;Resolución MI 206/13  T1R;401.0;unit_price*20.00;28
T1R Residencial;Servicios de Energía;Resolución MI 206/13  T1R;201.0;unit_price*15.00;29
T1R Residencial;Servicios de Energía;Resolución MI 206/13  T1R;101.0;10.00;30
T1R Residencial;Servicios de Energía;Resolución MI 206/13  T1R;1.0;5.00;31
T1R Residencial;Servicios de Energía;Cargo Variable T1R Sin Subsidio;1401.0;unit_price*0.7867;36
T1R Residencial;Servicios de Energía;Cargo Variable T1R Sin Subsidio;701.0;unit_price*0.7214;37
T1R Residencial;Servicios de Energía;Cargo Variable T1R Sin Subsidio;501.0;unit_price*0.6823;38
T1R Residencial;Servicios de Energía;Cargo Variable T1R Sin Subsidio;401.0;unit_price*0.6451;39
T1R Residencial;Servicios de Energía;Cargo Variable T1R Sin Subsidio;201.0;unit_price*0.6143;40
T1R Residencial;Servicios de Energía;Cargo Variable T1R Sin Subsidio;101.0;unit_price*0.5760;41
T1R Residencial;Servicios de Energía;Cargo Variable T1R Sin Subsidio;;unit_price*0.5347;42
T1R Residencial;Servicios de Energía;Resta Cargo Variable T1R Sin Subsidio;1401.0;unit_price*-0.7867;45
T1R Residencial;Servicios de Energía;Resta Cargo Variable T1R Sin Subsidio;701.0;unit_price*-0.7214;46
T1R Residencial;Servicios de Energía;Resta Cargo Variable T1R Sin Subsidio;501.0;unit_price*-0.6823;47
T1R Residencial;Servicios de Energía;Resta Cargo Variable T1R Sin Subsidio;401.0;unit_price*-0.6451;48
T1R Residencial;Servicios de Energía;Resta Cargo Variable T1R Sin Subsidio;201.0;unit_price*-0.6143;49
T1R Residencial;Servicios de Energía;Resta Cargo Variable T1R Sin Subsidio;101.0;unit_price*-0.5760;50
T1R Residencial;Servicios de Energía;Resta Cargo Variable T1R Sin Subsidio;;unit_price*-0.5347;51
T1R Residencial;Servicios de Energía;Conexión Aerea-Monofasica T1R;;unit_price*88.1550;100
T1R Residencial;Servicios de Energía;Conexión Aerea-Trifasica T1R;;unit_price*268.3650;101
T1R Residencial;Servicios de Energía;Conexión Subterranea - Monofasica T1R;;unit_price*268.3650;102
T1R Residencial;Servicios de Energía;Conexión Subterranea - Trifasica T1R;;unit_price*355.6650;103
T1R Residencial;Servicios de Energía;Rehabilitacion (fusible) T1R;;unit_price*12.66;104
T1R Residencial;Servicios de Energía;Desconexión directa ( 2a. rehab.) T1R;;unit_price*12.66;105
T1R Residencial;Servicios de Energía;Plan Municipal de AP Ord. 3000/10;1.0;unit_price*4.00;106
T1R Residencial;Servicios de Energía;Res. Asamblea 30/12/04 T1R Cuota Capital;1.0;unit_price*25.00;107
